"email","password","displayName","role","lookingFor"
"demo01@speedlink.local","SpeedLink@2026!","Demo Developer 01","Developer","Founder"
"demo02@speedlink.local","SpeedLink@2026!","Demo Designer 02","Designer","Co-founder"
"demo03@speedlink.local","SpeedLink@2026!","Demo Founder 03","Founder","Product Manager"
"demo04@speedlink.local","SpeedLink@2026!","Demo Co-founder 04","Co-founder","Data Scientist"
"demo05@speedlink.local","SpeedLink@2026!","Demo Product Manager 05","Product Manager","Marketer"
"demo06@speedlink.local","SpeedLink@2026!","Demo Data Scientist 06","Data Scientist","Anyone/Random"
"demo07@speedlink.local","SpeedLink@2026!","Demo Marketer 07","Marketer","Designer"
"demo08@speedlink.local","SpeedLink@2026!","Demo Freelancer 08","Freelancer","Developer"
"demo09@speedlink.local","SpeedLink@2026!","Demo Developer 09","Developer","Founder"
"demo10@speedlink.local","SpeedLink@2026!","Demo Designer 10","Designer","Co-founder"
"demo11@speedlink.local","SpeedLink@2026!","Demo Founder 11","Founder","Product Manager"
"demo12@speedlink.local","SpeedLink@2026!","Demo Co-founder 12","Co-founder","Data Scientist"
"demo13@speedlink.local","SpeedLink@2026!","Demo Product Manager 13","Product Manager","Marketer"
"demo14@speedlink.local","SpeedLink@2026!","Demo Data Scientist 14","Data Scientist","Anyone/Random"
"demo15@speedlink.local","SpeedLink@2026!","Demo Marketer 15","Marketer","Designer"
"demo16@speedlink.local","SpeedLink@2026!","Demo Freelancer 16","Freelancer","Developer"
"demo17@speedlink.local","SpeedLink@2026!","Demo Developer 17","Developer","Founder"
"demo18@speedlink.local","SpeedLink@2026!","Demo Designer 18","Designer","Co-founder"
"demo19@speedlink.local","SpeedLink@2026!","Demo Founder 19","Founder","Product Manager"
"demo20@speedlink.local","SpeedLink@2026!","Demo Co-founder 20","Co-founder","Data Scientist"
"demo21@speedlink.local","SpeedLink@2026!","Demo Product Manager 21","Product Manager","Marketer"
"demo22@speedlink.local","SpeedLink@2026!","Demo Data Scientist 22","Data Scientist","Anyone/Random"
"demo23@speedlink.local","SpeedLink@2026!","Demo Marketer 23","Marketer","Designer"
"demo24@speedlink.local","SpeedLink@2026!","Demo Freelancer 24","Freelancer","Developer"
"demo25@speedlink.local","SpeedLink@2026!","Demo Developer 25","Developer","Founder"
"demo26@speedlink.local","SpeedLink@2026!","Demo Designer 26","Designer","Co-founder"
"demo27@speedlink.local","SpeedLink@2026!","Demo Founder 27","Founder","Product Manager"
"demo28@speedlink.local","SpeedLink@2026!","Demo Co-founder 28","Co-founder","Data Scientist"
"demo29@speedlink.local","SpeedLink@2026!","Demo Product Manager 29","Product Manager","Marketer"
"demo30@speedlink.local","SpeedLink@2026!","Demo Data Scientist 30","Data Scientist","Anyone/Random"
"demo31@speedlink.local","SpeedLink@2026!","Demo Marketer 31","Marketer","Designer"
"demo32@speedlink.local","SpeedLink@2026!","Demo Freelancer 32","Freelancer","Developer"
"demo33@speedlink.local","SpeedLink@2026!","Demo Developer 33","Developer","Founder"
"demo34@speedlink.local","SpeedLink@2026!","Demo Designer 34","Designer","Co-founder"
"demo35@speedlink.local","SpeedLink@2026!","Demo Founder 35","Founder","Product Manager"
"demo36@speedlink.local","SpeedLink@2026!","Demo Co-founder 36","Co-founder","Data Scientist"
"demo37@speedlink.local","SpeedLink@2026!","Demo Product Manager 37","Product Manager","Marketer"
"demo38@speedlink.local","SpeedLink@2026!","Demo Data Scientist 38","Data Scientist","Anyone/Random"
"demo39@speedlink.local","SpeedLink@2026!","Demo Marketer 39","Marketer","Designer"
"demo40@speedlink.local","SpeedLink@2026!","Demo Freelancer 40","Freelancer","Developer"
"demo41@speedlink.local","SpeedLink@2026!","Demo Developer 41","Developer","Founder"
"demo42@speedlink.local","SpeedLink@2026!","Demo Designer 42","Designer","Co-founder"
"demo43@speedlink.local","SpeedLink@2026!","Demo Founder 43","Founder","Product Manager"
"demo44@speedlink.local","SpeedLink@2026!","Demo Co-founder 44","Co-founder","Data Scientist"
"demo45@speedlink.local","SpeedLink@2026!","Demo Product Manager 45","Product Manager","Marketer"
"demo46@speedlink.local","SpeedLink@2026!","Demo Data Scientist 46","Data Scientist","Anyone/Random"
"demo47@speedlink.local","SpeedLink@2026!","Demo Marketer 47","Marketer","Designer"
"demo48@speedlink.local","SpeedLink@2026!","Demo Freelancer 48","Freelancer","Developer"
"demo49@speedlink.local","SpeedLink@2026!","Demo Developer 49","Developer","Founder"
"demo50@speedlink.local","SpeedLink@2026!","Demo Designer 50","Designer","Co-founder"
